genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
GCA_003602665.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013330015.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496845.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002694585.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002722135.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002731395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602635.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013330925.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002718195.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505405.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002494645.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495645.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497765.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502295.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002689105.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002694525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002704515.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002714305.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002722695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002725275.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002726495.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002728035.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602475.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_003602485.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013330155.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004195635.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505935.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002719475.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503395.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002170775.2	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495675.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497295.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499585.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002504845.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505455.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002505695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002507175.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002712645.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002717835.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502625.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002503045.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002506875.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002697105.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002702985.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002708015.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002708695.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002712285.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002713585.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002718215.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002457555.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002496905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
